sample,code,station,site_name,type,lat,long,trench,lat_proj,province,simpl_prov,plate,region,geol_prov,rocks,volcano,anions,cations,alt,temp,mmhg,do,spc,ph,fnu,hum,temp_amb,dic,dic_d13,doc,doc_d13,toc,toc_d13,tc,tc_d13,tn,tn_d15,co2,he,h2,o2,ar,n2,ch4,co2_d13,rc_ra,X,co2_he3,cells_flu,low_pah,hi_pah,pah,ah,prot,cho,lip,cha,feo,cpe,al_ac,cr_ac,mn_ac,fe_ac,ni_ac,cu_ac,zn_ac,cd_ac,ag_ac,co_ac,f,cl,so4,h2s,br,no3,po4,li,na,nh4,k,mg,ca,si,al_s,cr_s,mn_s,fe_s,ni_s,cu_s,zn_s,cd_s,ag_s
DCO_LLO_Bv4v5..ETS_ET170220,ET,ET170220_1,Eco Thermales 1,S,10.484006,-84.675853,173.292857994931,9.04954184211008,arc,arc,smooth,guanacaste,4,QPI,Ar,gw,g2,368,40,728.6,13.4,1911,6.06,4.4,74.9,28.3,NA,NA,NA,NA,1.0475886,-28.6769596,1.640584,-27.4539505,0.1579822,8.5690342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51600,18.6,0.9,19.5,77,NA,NA,NA,NA,NA,NA,1.151346489,0.5780944083,38.00010641,1.60518005,2.381214776,0.05591920691,0.2050641716,0.004822942808,0.00400163227,0.03187178271,0,8.156303099,1.547502393,NA,0.002444875,0.05326258065,0.003135263158,0.01258857143,4.294620435,0,0.65172711,3.635083951,1.748588529,47.634,114.6,38.4,3434,57.6,36,227.9,100.6,0.826,1.5
DCO_LLO_Bv4v5..FAF_FA170219,FA,FA170219_1,Finca Ande,F,10.336843,-85.069499,139.599114914529,9.18137580701466,forearc,forearc,smooth,forearc,3,TV,f,gw,g3,109,55.2,748.3,10.3,5500,5.93,20,41.7,36.7,NA,NA,NA,NA,1.227636,-26.4655491,2.9632385,-19.1040767,0.1860918,2.1176549,995.1,0.00031,0.0014,0.25019,0.06626,4.51895,0.01853,-1.36,4.361179156,14.142887639,897781603307.736,1310000,23.5,13.2,36.6,273.5,4.65,47.63,2.5,4.34223772610899,0,4.34223772610899,1.625030713,0.4872303891,21.69209465,5.809076106,5.995884237,0.184986885,0.3592809139,0.0006979182484,0.006269783427,0.02225010415,0.019291052631579,20.36802141,6.187449844,0.05,0.007893375,0.02576387097,0.002933684211,0.2528128571,25.03894217,3.566246111,1.669922762,1.666677366,2.660672319,NA,6.6,6.2,2320.8,360.5,9.2,30.2,900.5,0.024,0.45
DCO_LLO_Bv4v5..FAS_FA170219,FA,FA170219_1,Finca Ande,S,10.336843,-85.069499,139.599114914529,9.18137580701466,forearc,forearc,smooth,forearc,3,TV,f,gw,g3,109,55.2,748.3,10.3,5500,5.93,20,41.7,36.7,NA,NA,NA,NA,1.227636,-26.4655491,2.9632385,-19.1040767,0.1860918,2.1176549,995.1,0.00031,0.0014,0.25019,0.06626,4.51895,0.01853,-1.36,4.361179156,14.142887639,897781603307.736,1310000,23.5,13.2,36.6,273.5,4.65,47.63,2.5,4.34223772610899,0,4.34223772610899,1.625030713,0.4872303891,21.69209465,5.809076106,5.995884237,0.184986885,0.3592809139,0.0006979182484,0.006269783427,0.02225010415,0.019291052631579,20.36802141,6.187449844,NA,0.007893375,0.02576387097,0.002933684211,0.2528128571,25.03894217,3.566246111,1.669922762,1.666677366,2.660672319,NA,6.6,6.2,2320.8,360.5,9.2,30.2,900.5,0.024,0.45
DCO_LLO_Bv4v5..MTF_MT170219,MT,MT170219,Mouse Trap,F,10.595774,-85.238451,152.55404828658,9.33303178937156,arc,arc,smooth,guanacaste,4,QPI,Mi,gw,g3,166,59.1,746.5,12.4,6150,6.32,7,47,35.65,21.7,3.55,1.66,-7.38,0.24926,-24.0510152,1.2467601,-4.654307,0.0218419,3.5772341,988.3,0.00023,0.00011,2.25954,0.16528,8.50821,0.74033,-0.84,3.574919441,5.575516189,685366161984.385,75500,10.9,15.6,26.5,31.3,2.85,0.9,1.45,0,0,0,4.752919524,0.5192686416,4.37736151,1.020672847,0.9492957684,0.2839291323,0.4788849234,0.001593754971,0.006379460532,0.02525687793,0.014486842105263,34.42172028,0.1403609781,0.05,0.019460875,0,0.001264210526,0.3251257143,34.23772957,0,1.062670077,0.1257711934,0.6963835411,45.766,90.4,17.5,927.7,41.3,18.3,53.7,106.8,0.253,1.04
DCO_LLO_Bv4v5..PFF_PF170224,PF,PF170222,Pompilo's finca,F,10.518466,-84.11518,202.082141511925,8.84558682642053,backarc,backarc,rough,backarc,6,QDF,b,iw,g4,53,28.7,754.3,4.3,3726,5.81,187.6,57.4,34,23.72,1.24,1.16,-5.15,1.6602958,-25.1447405,3.7682868,-24.0904081,0.3022001,2.9612289,997.6,NA,0.00025,0.47037,0.04483,1.8926,0.01771,-3.64,1.720275214,1.301630026,37393730178425.1,1000000,56.8,5.5,62.4,225.8,16.29,14.85,3.46,18.878954809931,0,18.878954809931,1.372101799,0.5586677396,50.82270609,8.36717384,3.683564902,0.1067494481,0.3123565216,0.0006354180521,0.003915295622,0.377054253,0,17.49594873,0.1823808533,NA,0.0109635,0,0.0006977894737,0.006154285714,12.38368609,0,1.104799488,6.313354733,0.809657606,68.182,147.2,34.1,674.1,218.3,25.1,196.6,148.4,0.243,2.08
DCO_LLO_Bv4v5..PFS_PF170222,PF,PF170222,Pompilo's finca,S,10.518466,-84.11518,202.082141511925,8.84558682642053,backarc,backarc,rough,backarc,6,QDF,b,iw,g4,53,28.7,754.3,4.3,3726,5.81,187.6,57.4,34,23.72,1.24,1.16,-5.15,1.6602958,-25.1447405,3.7682868,-24.0904081,0.3022001,2.9612289,997.6,NA,0.00025,0.47037,0.04483,1.8926,0.01771,-3.64,1.720275214,1.301630026,37393730178425.1,1000000,56.8,5.5,62.4,225.8,16.29,14.85,3.46,18.878954809931,0,18.878954809931,1.372101799,0.5586677396,50.82270609,8.36717384,3.683564902,0.1067494481,0.3123565216,0.0006354180521,0.003915295622,0.377054253,0,17.49594873,0.1823808533,0.05,0.0109635,0,0.0006977894737,0.006154285714,12.38368609,0,1.104799488,6.313354733,0.809657606,68.182,147.2,34.1,674.1,218.3,25.1,196.6,148.4,0.243,2.08
DCO_LLO_Bv4v5..PGF_PG170224,PG,PG172224,Poas Volcano Laguna,F,10.188962,-84.227388,163.901335159098,8.83228096907908,arc,arc,rough,poas,4,QPV,Po,vl,g1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1531187,-28.9067464,0.5364759,-28.3843072,0.0372921,-3.0693443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75800,6.8,4.2,11,17.4,3.8,1.06,3.02,1.18300954283927,0,1.18300954283927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCO_LLO_Bv4v5..PGS_PG170224,PG,PG172224,Poas Volcano Laguna,S,10.188962,-84.227388,163.901335159098,8.83228096907908,arc,arc,rough,poas,4,QPV,Po,vl,g1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1531187,-28.9067464,0.5364759,-28.3843072,0.0372921,-3.0693443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75800,6.8,4.2,11,17.4,3.8,1.06,3.02,1.18300954283927,0,1.18300954283927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCO_LLO_Bv4v5..PLS_PL170224,PL,PL170224,Poas Volcano lake,S,10.196777,-84.229892,164.52240974635,8.83495279679573,arc,arc,rough,poas,4,QPV,Po,vl,g1,2334,37.6,589.6,46.6,91900,0.85,250,NA,NA,0.86,-2.97,0.57,-20.66,0.0226216,-22.1303128,0.0038383,1.1829,NA,NA,971.2,0.00792,7.37495,0.10442,0.09272,5.20434,0.00048,NA,NA,NA,NA,3110,6.4,3,9.3,46.1,2.49,NA,3.48,0,2.36028,-2.91017641436326,52,2.096462251,145.7421328,113.1002195,16.0532882,0.08678120416,7.310236881,0.06649270318,0.1344737322,1.597294276,0,109.7164054,99.21702685,7.2,0.033465,0,0,0.006504285714,3.361191739,0.02071111111,1.5951711,4.852382305,18.08279626,NA,9.6,2,62.2,3.3,1.2,59,6.6,0.135,0.71
DCO_LLO_Bv4v5..QHF2_QH170212_2,QH,QH170213_2,Quepos Hotsprings 2,F,9.56171,-84.123251,106.11774199329,8.68345115928678,forearc,forearc,rough,forearc,1,CSS,f,dcl,g3,298,48.7,733.4,2.5,4100,8.53,3,83,25.2,0.1,-9.93,0.17,-27.58,7.1291951,-22.7558114,21.3400042,-21.261915,3.2305294,-17.1690988,0,0.00527,0.00287,0.30103,0.4101,23.4689,0.04669,NA,3.102987901,27.016097915,NA,3040000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.369162092,0.5079602285,0.4988312713,1.829645625,2.505139462,0.1091486356,0.06581423931,0.0009479190858,0.004753002002,0.01984468563,0.239206315789474,14.64322479,0.948314256,3.2,0.0071385,0.05062935484,0.0004303157895,0.006888571429,10.70151348,0.04985777778,0.135086445,0.02203045267,2.200692269,9.34,72.4,199.2,787.2,68,72.9,102.5,106.1,0.316,1.15
