"","EC","ARS","BQF","BQS","BQS1","BR1F","BRF1","BRF2","BRS1","BRS2","CYF","CYS","EPF","EPS","ESF9","ETS","FAS","MTF","PBS","PFF","PFS","PGF","PGS","PLS","QH2F","QHS1","QHS2","QNF","QNS","RSF","RSS","RVF","SIF","SIS","SLF","SLS","TCF","TCS"
"1","1.1.1.1",170,26,19,10,138,86,112,140,172,576,280,98,251,97,195,442,106,42,220,80,38,277,16,24,2065,28,347,223,214,156,216,113,112,231,71,308,43
"2","1.1.1.100",3688,824,1510,851,6176,4815,5002,6969,8693,5705,10403,4402,7748,4707,3861,11150,6320,2687,7031,3163,1712,9072,8528,12455,24382,4443,6922,8692,4866,3782,4066,6005,7717,4914,2069,5572,5589
"3","1.1.1.103",232,33,96,28,311,190,126,580,470,1139,754,98,249,42,221,604,983,13,194,76,27,639,224,23,3883,74,212,174,128,141,41,19,296,252,85,298,354
"4","1.1.1.107",207,184,152,268,121,76,60,232,264,66,342,97,214,99,188,252,75,39,184,65,52,311,30,17,119,32,243,160,183,133,52,46,294,147,31,149,56
"5","1.1.1.108",28,1,14,7,41,28,74,2,10,97,176,19,81,49,24,4,28,5,84,20,29,328,2,NA,326,3,313,139,69,40,26,33,42,46,6,102,5
"6","1.1.1.127",187,1,55,NA,218,317,155,83,506,231,488,406,614,186,343,561,212,32,629,222,112,912,46,6,84,101,454,278,652,793,183,146,562,272,106,279,128
"7","1.1.1.130",1,NA,16,NA,15,6,5,11,17,NA,2,12,41,2,NA,NA,2,1,20,44,12,85,12,2,NA,NA,24,30,25,13,NA,4,2,7,NA,16,22
"8","1.1.1.132",278,NA,28,NA,161,115,301,239,241,237,579,173,221,48,378,342,156,33,487,149,49,525,126,3,13029,19,332,257,243,141,154,42,121,317,56,452,223
"9","1.1.1.133",279,5,88,1,375,1087,1179,203,582,245,561,466,800,3656,268,268,447,93,1233,607,292,983,314,637,4607,759,1952,3212,268,204,1458,4975,656,324,63,643,155
"10","1.1.1.136",1111,NA,244,3,1924,1149,983,2104,3125,1859,3611,1092,2744,539,1082,4367,1078,253,1983,766,264,2758,788,336,2114,678,1350,1949,1724,1500,428,729,2239,1532,785,1417,1152
"11","1.1.1.157",493,44,74,28,365,196,110,605,980,500,1409,213,503,143,564,1080,309,46,444,243,92,889,134,47,663,66,656,548,446,301,105,225,410,431,109,467,195
"12","1.1.1.159",31,NA,6,NA,26,10,16,44,77,8,50,27,44,18,31,61,15,10,56,29,27,75,1,4,84,7,56,36,64,25,10,15,103,49,29,105,10
"13","1.1.1.169",NA,NA,NA,NA,74,87,8,44,54,37,13,3,18,7,10,190,8,2,20,5,6,17,9,29,10,62,9,36,22,11,6,4,22,21,20,55,10
"14","1.1.1.175",17,NA,11,NA,28,39,56,3,4,23,28,8,19,33,29,2,37,14,61,19,64,122,1,NA,6,1,92,52,25,17,131,16,14,37,NA,41,1
"15","1.1.1.18",47,2,38,NA,170,237,116,106,192,332,449,45,178,124,72,295,171,12,200,60,129,479,14,22,145,26,315,154,164,93,65,114,293,114,46,248,37
"16","1.1.1.184",10,NA,NA,NA,4,4,2,NA,4,NA,10,10,51,34,7,4,3,2,37,6,10,42,NA,2,NA,8,25,8,12,32,NA,9,33,17,1,11,1
"17","1.1.1.192",15,3,9,NA,62,98,401,24,51,180,82,61,123,59,11,49,398,30,75,51,41,87,607,44,11,166,56,139,70,86,293,35,83,85,78,153,415
"18","1.1.1.2",284,5,213,NA,368,375,1333,23,159,121,774,470,1465,240,619,97,278,1816,1108,745,498,3509,83,112,1374,65,1230,1272,362,272,2230,222,478,320,13,739,102
"19","1.1.1.203",52,2,17,NA,65,48,66,8,11,43,129,28,57,123,20,18,113,7,168,112,133,90,5,2,63,12,281,207,41,15,53,90,33,77,NA,161,9
"20","1.1.1.205",2478,1174,1432,1046,6202,5861,6084,6373,8908,6419,9897,4803,8411,5558,3448,8870,6051,4464,8220,3351,1631,9145,9581,16718,29894,6208,7523,10278,4671,3935,5438,7214,7792,4488,1611,5806,7354
"21","1.1.1.22",802,8,183,2,1146,737,1068,1129,2732,1673,2752,1454,2620,627,1341,2692,1314,379,1847,913,550,2781,705,2758,9732,1498,1632,1954,1534,1319,670,450,2606,1346,669,1428,822
"22","1.1.1.23",1156,1143,1477,1333,2030,2990,3458,1686,4696,2984,3571,2854,5007,5040,1558,3030,3977,1931,4361,2083,909,3906,6398,12188,19574,3623,4687,6562,2192,2118,3003,6246,4440,2104,890,2942,4339
"23","1.1.1.24",56,NA,1,NA,71,413,35,20,11,54,31,7,27,26,17,19,103,9,47,15,3,37,3,NA,20,2,76,47,13,20,22,20,47,42,1,53,4
"24","1.1.1.25",106,3,104,17,319,647,964,211,730,1206,278,487,658,678,109,365,1441,38,882,287,109,428,1765,4595,6825,1062,712,1070,133,138,717,964,598,278,206,711,1008
"25","1.1.1.251",NA,NA,NA,NA,7,3,1,1,6,9,2,NA,1,NA,1,4,1,NA,5,1,NA,4,NA,2,NA,2,NA,1,2,2,NA,NA,4,NA,2,2,NA
"26","1.1.1.261",2,NA,NA,NA,1,1,NA,1,46,14,2,8,5,1,6,19,14,2,16,1,NA,38,NA,2,NA,2,5,6,8,10,3,NA,32,10,1,12,5
"27","1.1.1.262",536,1,162,NA,486,947,2123,317,1195,398,1127,1089,1505,1177,531,566,1102,1123,1848,1016,390,1384,1706,9672,13346,2030,2245,3092,512,366,2308,1336,1106,579,118,1103,884
"28","1.1.1.264",10,NA,6,NA,48,30,8,4,1,3,9,3,10,12,1,2,15,1,15,4,65,48,2,NA,5,2,27,14,6,3,8,5,13,7,NA,19,1
"29","1.1.1.268",84,9,22,4,69,28,21,113,88,40,120,29,62,26,58,89,41,93,71,34,30,146,75,2,37,3,139,169,65,52,18,17,41,102,20,81,102
"30","1.1.1.27",178,46,144,44,504,261,297,600,774,882,340,161,326,114,113,779,544,22,401,130,59,1044,299,79,2553,167,228,251,287,355,81,83,527,500,131,384,301
"31","1.1.1.271",563,4,181,NA,481,231,948,308,1173,1324,1081,1795,2288,919,429,972,2238,103,2424,1178,465,2919,3875,12984,8902,2399,2045,2944,830,850,283,994,904,795,142,1241,2389
"32","1.1.1.274",3,1,1,NA,63,33,83,2,25,15,22,10,47,11,8,13,31,6,50,1,13,30,2,5,20,13,55,45,46,22,21,10,12,13,1,41,3
"33","1.1.1.28",NA,NA,NA,NA,2,2,NA,NA,2,NA,8,4,5,5,2,5,2,NA,2,29,3,1,1,NA,NA,NA,2,1,3,4,1,4,3,4,1,4,NA
"34","1.1.1.281",5,NA,1,NA,4,NA,69,2,3,NA,5,3,6,4,6,2,6,776,7,4,4,12,1,NA,2,NA,13,8,13,5,23,2,NA,4,NA,26,2
"35","1.1.1.282",NA,NA,NA,NA,7,NA,5,7,17,6,6,23,32,2,57,6,34,1,6,4,4,8,NA,5,14,7,2,3,15,14,2,3,45,2,8,11,4
"36","1.1.1.283",92,1,43,NA,37,45,268,13,103,37,74,89,406,50,23,49,58,347,144,146,46,303,16,25,78,83,110,122,211,416,247,29,230,65,27,93,20
"37","1.1.1.290",14,NA,2,NA,67,122,523,7,55,16,95,50,119,29,51,78,61,5,100,47,19,87,17,25,77,51,50,193,102,124,623,28,135,26,7,134,29
"38","1.1.1.298",161,NA,44,NA,262,688,320,51,379,206,391,146,432,175,104,146,362,46,612,253,617,729,62,252,1277,429,385,767,142,140,118,171,401,197,16,293,70
"39","1.1.1.30",467,5,56,3,443,1180,394,291,230,485,1118,278,401,1914,246,277,971,143,786,310,336,681,810,34,5040,73,1317,1285,350,192,262,2728,697,516,31,600,372
"40","1.1.1.302",NA,6,6,10,43,13,4,3,1,1386,41,1,1,1,1,3,1246,2,5,NA,3,9,4682,NA,NA,NA,5,1,11,4,9,NA,1,130,23,353,2613
"41","1.1.1.308",88,4,79,NA,130,88,48,86,239,118,406,44,119,106,192,92,94,40,198,90,465,693,36,13,869,25,262,145,107,94,41,81,158,220,31,187,70
"42","1.1.1.310",224,2,52,1,323,241,128,433,347,162,642,125,187,170,204,347,340,25,234,143,128,433,36,86,2077,102,274,320,191,120,84,163,248,315,92,246,63
"43","1.1.1.311",139,780,565,776,171,85,66,181,239,107,324,48,152,34,154,357,62,23,165,67,24,279,11,109,476,149,190,164,153,101,50,25,138,161,51,124,31
"44","1.1.1.313",24,2,1,NA,36,31,66,25,51,6,91,16,42,21,17,25,83,6,87,38,21,119,20,19,60,73,65,73,49,30,51,13,48,16,9,86,38
"45","1.1.1.325",16,NA,NA,NA,10,3,21,14,36,11,13,1,6,5,8,42,11,1,12,3,5,14,NA,NA,NA,3,9,6,5,2,2,2,8,15,3,16,4
"46","1.1.1.333",2,NA,2,NA,10,6,3,NA,2,17,9,9,18,1,9,2,10,8,7,3,5,60,NA,1,11,NA,43,26,50,11,21,1,13,11,NA,119,13
"47","1.1.1.335",38,1,18,NA,157,75,213,48,311,367,118,184,447,76,76,164,110,12,624,378,30,265,69,430,2145,1303,308,523,343,387,74,66,235,122,21,193,89
"48","1.1.1.336",63,4,32,NA,459,970,1804,397,190,234,253,118,303,169,120,204,247,18,392,183,155,332,253,177,27,242,539,512,254,186,3027,113,349,195,58,482,431
"49","1.1.1.338",43,NA,3,NA,39,19,10,8,53,12,136,43,52,21,40,53,25,9,67,43,11,81,3,5,625,6,101,47,43,34,9,21,160,105,26,35,8
"50","1.1.1.340",10,NA,NA,NA,NA,4,6,NA,1,NA,7,5,3,2,11,3,NA,3,14,2,2,10,1,3,NA,NA,5,6,5,3,3,4,2,10,NA,6,NA
"51","1.1.1.343",29,NA,17,NA,40,17,36,22,63,52,100,26,89,29,17,78,41,2,137,52,19,114,16,38,193,27,78,51,90,58,10,18,241,39,24,51,34
"52","1.1.1.350",NA,2,NA,NA,2,1,10,1,4,42,NA,11,3,4,NA,NA,2,NA,3,1,6,1,NA,NA,NA,NA,1,1,7,7,5,1,3,6,2,9,1
"53","1.1.1.36",418,9,62,2,280,1217,601,40,126,265,577,505,593,2615,174,118,470,59,1223,468,271,831,114,360,2024,434,1592,1460,158,147,200,4028,542,387,19,627,143
"54","1.1.1.361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"55","1.1.1.37",2652,681,1346,622,4898,5067,4991,4833,7231,5514,9636,3382,7178,5043,3617,8626,5133,1785,6418,3290,1833,8701,5951,2003,15373,3165,7079,9593,3932,3297,4850,7020,6406,4323,1543,5333,4589
"56","1.1.1.370",NA,NA,NA,NA,11,16,23,NA,9,22,29,2,12,1,16,2,6,NA,3,NA,2,12,NA,1,NA,2,12,4,2,NA,4,NA,39,9,1,5,1
"57","1.1.1.371",1,1,NA,NA,10,5,20,NA,2,6,NA,NA,7,1,NA,2,4,NA,7,4,4,8,NA,NA,1,2,6,3,1,3,2,2,32,11,3,10,NA
"58","1.1.1.373",NA,NA,NA,NA,4,9,1,NA,1,6,16,NA,3,1,1,7,2,1,3,1,1,8,NA,NA,147,NA,9,8,6,2,3,3,1,5,2,11,1
"59","1.1.1.42",2896,5139,4375,5051,4682,4752,4938,5455,8063,5396,8948,4326,7178,7088,3227,9119,4014,3216,6960,2629,1046,8544,2976,17449,43048,5612,4868,6935,3513,3273,5485,10746,7555,4178,1347,5570,3875
"60","1.1.1.44",711,17,205,NA,558,451,473,373,1342,594,1592,819,1767,372,813,1748,389,252,1712,950,341,2886,218,4155,1955,655,1569,1504,1352,1625,200,301,1891,801,257,801,443
"61","1.1.1.49",916,8,306,1,1259,2006,1146,1338,1384,1167,3483,812,1390,2705,1564,2093,957,1376,2888,1105,769,4482,589,2068,9355,857,2823,2677,954,960,483,3974,1255,1153,214,1541,849
"62","1.1.1.53",222,1,22,NA,61,37,26,92,57,25,365,28,92,28,44,105,61,21,100,32,10,154,7,3,31,11,194,134,103,60,29,20,82,125,13,136,20
"63","1.1.1.6",22,NA,3,NA,26,22,99,6,25,15,80,86,61,33,29,36,19,2,136,50,42,79,2,3,105,3,29,51,95,22,17,11,37,27,16,41,7
"64","1.1.1.60",158,NA,33,NA,268,166,115,284,618,77,458,538,834,64,234,517,77,4,308,190,122,606,50,45,313,84,211,255,657,667,71,64,459,167,142,90,84
"65","1.1.1.81",259,973,949,1033,754,438,367,787,1331,740,1009,712,1300,131,371,1669,631,709,662,256,95,881,1007,200,2976,433,381,631,782,643,205,109,1234,502,556,557,794
"66","1.1.1.83",1023,3,191,NA,651,1667,240,474,610,350,1343,306,612,2803,478,834,610,123,1216,520,664,1881,110,25,3793,75,1896,1458,462,374,275,4802,824,675,93,696,136
"67","1.1.1.85",1600,114,636,86,2901,3407,3109,3035,4116,5286,4569,2777,4720,4855,2098,3793,4786,1902,5028,2373,1179,5043,7518,9048,19135,2747,4705,6260,2543,2126,2740,6395,4636,2762,830,3565,5267
"68","1.1.1.86",3,NA,16,NA,150,816,476,1,6,NA,84,38,260,103,1,2,23,8,163,232,94,216,13,1,NA,21,423,312,95,94,82,68,2,22,NA,109,18
"69","1.1.1.87",251,1090,1093,1312,667,413,155,658,600,910,858,233,449,119,292,695,1128,190,383,109,101,668,268,106,2541,191,274,323,362,260,129,104,1416,421,200,380,365
"70","1.1.1.94",370,1,80,NA,440,606,495,347,912,746,1296,551,1002,849,448,957,741,187,870,453,167,1203,1431,4136,3027,801,951,1267,401,326,190,1021,813,515,158,658,837
"71","1.1.1.95",897,40,230,39,843,966,2677,1190,1247,1257,1887,566,1330,471,811,1346,877,175,1208,578,551,2476,378,276,2582,305,1631,1495,1132,868,3697,334,1147,822,176,1520,441
"72","1.1.2.7",200,1,27,NA,162,86,75,254,268,98,498,291,238,116,68,139,202,15,178,59,57,267,115,2,86,5,1281,466,100,55,58,96,102,146,16,171,170
"73","1.1.2.8",120,5,37,NA,136,90,534,129,44,64,223,248,146,278,87,39,52,22,328,39,90,518,16,7,19,7,622,424,84,37,96,295,119,59,2,165,21
"74","1.1.3.15",347,4,83,NA,382,164,87,411,572,172,643,115,253,80,174,464,152,26,414,131,114,872,98,34,2056,137,262,389,278,206,52,83,413,320,56,314,134
"75","1.1.5.6",356,NA,89,NA,509,436,733,428,817,101,463,516,366,208,198,437,171,43,1223,815,355,1282,87,672,4827,256,1097,1949,245,174,239,197,668,305,60,696,110
"76","1.1.98.2",124,NA,15,NA,57,51,33,43,27,19,70,24,110,9,67,66,57,17,134,31,39,397,9,NA,28,2,156,135,136,80,38,10,21,79,39,149,13
"77","1.1.98.3",31,NA,40,NA,68,35,60,52,119,86,96,47,56,33,24,64,68,82,85,32,28,170,16,352,752,41,158,135,54,42,27,23,56,71,6,273,38
"78","1.1.99.28",82,1,15,NA,63,28,35,51,78,90,139,41,71,26,70,73,43,13,108,30,92,208,5,8,29,12,168,60,81,90,53,13,87,71,18,60,15
"79","1.10.3.10",582,24,153,NA,584,774,3708,257,657,392,803,615,554,574,308,436,562,3045,1392,322,1164,2207,132,1073,1363,488,1739,1366,560,388,6653,676,397,385,42,1376,154
"80","1.10.3.14",75,9,115,1,250,260,1753,107,442,134,145,220,350,118,127,334,192,425,825,242,497,1521,69,9908,166,1498,719,574,229,273,2530,101,247,153,45,419,89
"81","1.10.3.9",NA,3,13,NA,111,48,88,7,87,506,876,17,1,1073,NA,183,162,34,15,2588,68855,97,NA,25,15240,12,256,18,118,10,20,693,1367,131,4,64,NA
"82","1.11.1.1",4,NA,64,NA,67,28,329,14,322,46,28,784,1081,111,75,331,194,4,564,346,185,789,91,187,230,747,176,432,931,772,85,105,950,76,121,113,69
"83","1.11.1.15",272,3,84,NA,436,674,866,155,646,729,796,228,422,673,281,444,850,101,987,349,375,1273,1037,165,1254,260,732,838,265,213,404,789,286,420,54,830,608
"84","1.11.1.18",NA,NA,NA,NA,NA,3,2,NA,1,NA,5,3,1,NA,1,2,1,2,3,NA,NA,3,NA,NA,NA,NA,1,19,5,2,NA,1,NA,5,NA,24,6
"85","1.11.1.19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,3,6,3,6,NA,NA,NA,NA,NA,7,NA
"86","1.11.1.21",2663,36,1855,6,4732,8209,5030,3219,7689,3923,11190,9716,21332,12597,2529,8100,4452,2323,11911,3710,3328,20308,1388,22786,54950,10275,9488,5841,9373,10502,2381,16658,20325,6942,863,6780,1985
"87","1.11.1.22",361,5,31,2,305,552,1261,96,292,207,581,238,344,1613,179,255,439,162,872,409,338,1054,129,907,7004,308,1290,1152,271,252,1720,2430,589,384,34,707,130
"88","1.11.1.5",48,4,106,NA,464,1371,293,173,252,405,237,840,1098,3605,125,128,293,90,557,213,106,1343,3355,589,318,853,380,906,75,65,86,6086,646,163,35,447,1888
"89","1.11.1.6",397,15,140,4,382,352,2683,10,78,79,377,868,1405,250,210,29,384,166,581,93,430,1205,77,166,3824,359,1153,596,1138,849,4449,199,1292,429,7,850,21
"90","1.11.2.4",NA,8,NA,NA,1,1,11,NA,1,1,8,NA,4,5,NA,NA,5,NA,4,NA,NA,2,NA,NA,NA,NA,5,1,3,2,2,4,1,6,NA,7,NA
"91","1.12.1.3",1,NA,3,NA,16,8,16,17,73,29,14,43,181,6,22,46,137,NA,52,13,4,53,663,12,8,20,2,20,54,32,8,11,67,33,39,67,280
"92","1.12.1.5",NA,NA,NA,NA,4,3,3,3,8,4,9,18,27,2,6,12,3,NA,7,7,1,11,2,5,125,21,1,3,9,9,4,5,25,4,9,4,2
"93","1.12.2.1",41,NA,78,1,255,133,352,300,1082,542,490,703,995,121,232,1098,289,182,1133,396,134,1223,109,144,1654,220,136,663,339,297,73,129,1296,230,153,357,146
"94","1.12.7.2",14,NA,30,NA,47,24,101,9,150,56,20,300,643,69,34,81,115,NA,283,236,100,440,21,186,127,638,66,254,623,568,33,66,380,30,18,61,107
"95","1.12.98.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,13,NA,NA,NA,NA,NA,11,NA,1,19,2,NA,NA,NA,4,3,44,9,2,1,11,NA,NA,22,NA
"96","1.12.98.3",62,NA,2,NA,81,28,29,118,114,87,60,30,59,17,87,95,62,6,36,15,12,46,34,3,150,11,29,27,50,20,10,5,52,55,16,25,44
"97","1.12.98.4",3,1,9,NA,39,17,102,47,272,33,27,229,553,14,43,330,59,1,159,67,18,185,37,35,21,49,29,92,355,276,36,17,570,70,121,76,60
"98","1.12.99.6",90,5,423,3,897,464,1438,731,2315,1413,849,2080,2668,8077,855,2195,380,3351,4542,2253,506,6528,418,1322,14113,760,1778,4167,663,691,440,13699,2421,782,256,1800,608
"99","1.13.11.1",43,NA,17,NA,14,179,567,NA,5,NA,5,3,4,14,3,NA,36,2,59,2,30,36,2,NA,NA,NA,81,65,3,3,1129,9,2,9,NA,76,2
"100","1.13.11.11",381,4,56,NA,165,169,205,11,118,60,509,121,125,3506,151,107,259,124,466,230,102,443,41,30,4433,45,689,819,150,91,188,4966,618,252,7,399,60
"101","1.13.11.16",41,NA,NA,NA,6,3,3,NA,NA,NA,5,14,4,3,4,NA,1,NA,6,NA,NA,1,NA,NA,NA,NA,18,12,1,1,1,1,3,3,NA,6,1
"102","1.13.11.2",153,NA,8,NA,170,104,82,300,180,166,228,82,142,49,194,266,103,16,259,38,18,156,108,13,720,19,128,82,124,97,35,24,308,207,44,118,175
"103","1.13.11.24",595,6,109,NA,451,658,723,356,215,78,1489,216,237,1041,271,241,205,48,733,564,232,1193,69,1689,3735,259,869,819,181,181,1016,1492,426,394,23,488,93
"104","1.13.11.25",5,NA,11,NA,3,2,2,4,NA,57,19,5,18,4,3,2,6,5,15,2,2,7,NA,NA,1,NA,11,45,36,5,9,1,1,10,NA,54,3
"105","1.13.11.29",93,NA,33,1,84,116,50,4,4,2,92,114,85,694,29,5,52,7,424,289,108,577,33,29,31,66,319,494,121,72,50,802,116,85,1,98,12
"106","1.13.11.3",278,NA,17,NA,144,220,128,73,29,151,411,28,65,96,59,58,287,6,175,12,61,179,21,5,111,15,332,132,106,47,255,71,95,129,10,190,12
"107","1.13.11.49",2,2,NA,NA,2,NA,5,3,NA,NA,14,4,NA,7,37,NA,3,NA,11,3,NA,NA,1,3,324,1,3,NA,NA,1,NA,24,NA,3,NA,24,2
"108","1.13.11.5",576,5,116,2,233,209,102,37,72,222,922,137,157,250,224,49,288,117,454,212,608,1409,29,15,63,35,712,485,128,144,304,177,273,444,11,345,84
"109","1.13.11.57",126,NA,18,NA,80,251,271,2,19,38,393,60,44,218,123,37,132,16,213,64,247,111,9,NA,7,NA,342,192,64,23,109,400,168,237,NA,187,11
"110","1.13.11.6",71,NA,5,NA,30,5,4,2,44,2,222,12,21,49,45,89,17,9,67,10,157,66,17,2,153,6,110,76,30,14,22,36,54,155,7,60,8
"111","1.13.11.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","1.13.11.79",165,7,9,NA,144,180,105,149,75,223,226,139,192,68,260,73,55,75,151,23,115,261,61,136,94,177,213,157,48,27,47,55,32,43,14,115,58
"113","1.13.11.9",5,NA,NA,NA,20,16,2,17,3,NA,32,4,8,2,5,2,3,1,12,NA,93,5,1,NA,NA,1,18,16,4,4,3,2,2,22,NA,12,6
"114","1.13.12.16",409,6,65,NA,112,102,138,59,265,67,667,215,256,177,197,212,108,42,507,413,161,468,50,28,46,103,590,445,319,205,184,127,466,256,109,411,63
"115","1.14.11.17",96,NA,12,NA,62,44,402,6,9,NA,81,3,23,58,44,12,19,NA,79,20,87,69,3,NA,NA,1,151,159,22,12,690,38,22,52,NA,140,12
"116","1.14.11.33",71,1,19,NA,42,17,25,NA,6,22,113,88,53,15,35,NA,13,278,120,19,52,115,11,4300,2,386,127,125,34,24,25,15,8,57,NA,59,2
"117","1.14.11.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","1.14.11.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","1.14.11.39",NA,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,11,1,1,3,2,1,4,5,NA,11,NA
"120","1.14.11.n3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","1.14.12.1",58,1,16,NA,35,195,340,NA,1,1,46,4,2,34,6,12,42,7,55,9,27,52,8,1,4,NA,806,305,5,NA,594,21,10,26,1,94,3
"122","1.14.12.17",100,2,1,NA,15,72,421,1,1,4,9,2,6,14,2,NA,24,2,27,7,18,7,2,NA,75,NA,51,63,5,7,401,5,3,10,NA,55,1
"123","1.14.12.18",22,NA,8,NA,22,17,2,22,4,49,86,1,9,1,10,8,3,NA,29,20,NA,6,3,NA,8,1,259,62,3,5,3,NA,2,16,1,8,3
"124","1.14.12.19",95,1,NA,NA,15,15,7,17,5,8,76,9,24,4,14,8,5,4,47,5,3,5,1,NA,3,NA,590,88,11,9,7,2,4,25,1,16,NA
"125","1.14.13.113",6,NA,NA,NA,49,60,537,NA,4,3,12,10,3,33,2,3,18,NA,37,5,22,10,NA,NA,3,NA,88,6,16,5,1570,34,38,9,NA,127,1
"126","1.14.13.114",44,NA,1,NA,35,21,7,3,12,2,112,5,32,84,32,3,15,13,53,21,6,35,4,NA,1,1,80,68,35,25,23,109,41,46,1,37,1
"127","1.14.13.127",124,NA,4,NA,11,12,25,NA,27,NA,73,13,33,22,33,3,10,8,73,20,56,60,3,1,762,NA,240,73,69,20,70,12,22,70,NA,139,17
"128","1.14.13.133",4,NA,NA,NA,NA,1,NA,NA,NA,5,8,NA,NA,NA,1,2,1,NA,NA,NA,NA,6,NA,NA,2,NA,2,NA,NA,3,NA,NA,2,4,NA,3,NA
"129","1.14.13.141",155,NA,13,NA,102,58,29,143,179,42,219,42,106,16,99,197,43,24,106,31,28,86,14,4,32,2,286,172,115,86,34,10,47,182,7,289,40
"130","1.14.13.142",18,NA,NA,NA,4,4,4,NA,2,8,5,9,13,3,NA,NA,5,6,25,8,NA,16,10,NA,2,NA,28,44,30,7,8,NA,5,6,NA,61,14
"131","1.14.13.149",432,2,96,NA,619,1840,161,237,260,714,1001,160,247,2435,189,359,1214,82,808,307,660,730,242,3,10886,59,1256,829,279,173,196,4224,1020,507,31,682,313
"132","1.14.13.154",48,NA,NA,NA,43,22,3,32,31,37,100,15,44,8,41,49,37,82,38,7,2,37,4,6,18,NA,99,41,40,34,15,4,16,81,1,64,14
"133","1.14.13.163",34,NA,NA,NA,2,4,2,NA,5,29,31,1,4,4,10,7,3,3,5,2,3,16,1,NA,50,NA,23,8,3,4,2,11,5,31,2,12,4
"134","1.14.13.165",4,NA,NA,NA,6,29,91,NA,1,13,73,1,6,5,1,NA,16,25,1,NA,NA,NA,NA,NA,NA,NA,12,7,19,3,8,NA,2,10,NA,8,NA
"135","1.14.13.171",271,1,28,NA,89,30,35,7,24,86,807,27,113,153,131,2,42,37,331,105,57,370,5,1,16,5,726,247,153,153,137,119,208,354,3,377,40
"136","1.14.13.182",25,NA,4,NA,36,60,63,8,9,2,72,19,28,14,23,4,35,7,54,19,6,22,7,1,74,NA,116,184,51,24,115,11,19,36,1,36,4
"137","1.14.13.188",41,NA,NA,NA,6,6,4,3,9,4,48,5,15,1,34,22,13,6,14,6,NA,20,1,1,29,NA,56,21,30,7,6,1,10,30,NA,33,4
"138","1.14.13.195",5,2,NA,NA,15,9,21,NA,NA,NA,3,6,66,1,NA,NA,2,1,4,NA,4,NA,NA,NA,NA,NA,8,5,10,3,16,1,1,3,NA,3,NA
"139","1.14.13.2",765,4,80,NA,570,1923,213,384,161,374,1039,156,265,3527,407,193,895,88,928,371,329,1091,64,9,145,20,1447,919,258,236,376,4982,344,643,19,729,93
"140","1.14.13.24",3,NA,NA,NA,2,4,2,NA,NA,NA,11,2,2,3,5,NA,NA,2,14,12,1,5,4,NA,NA,NA,28,55,7,NA,3,2,1,1,NA,3,2
"141","1.14.13.25",24,NA,NA,NA,NA,NA,1,NA,1,NA,10,17,1,NA,1,2,NA,NA,11,5,8,10,NA,NA,NA,NA,64,127,NA,1,NA,NA,3,3,NA,7,NA
"142","1.14.13.59",5,NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,8,NA,NA,NA,2,NA,NA,1,1,5,NA,NA,NA,NA,1,24,3,5,NA,NA,2,3,NA,16,10
"143","1.14.13.70",56,NA,NA,NA,18,5,4,1,16,13,113,34,22,12,21,NA,14,20,52,20,9,61,NA,NA,NA,2,79,48,20,25,20,3,3,130,NA,203,15
"144","1.14.13.9",35,1,17,NA,49,22,4,11,45,56,306,9,20,58,137,118,64,6,72,15,6,126,31,2,1937,12,145,63,15,18,14,40,74,89,2,73,16
"145","1.14.13.92",592,2,86,NA,145,52,58,20,92,81,1076,57,230,123,230,100,94,91,417,97,95,633,44,4,289,5,1287,453,248,185,93,96,129,486,4,413,44
"146","1.14.14.1",171,1,30,NA,21,15,8,8,16,12,62,9,53,28,22,NA,4,9,61,12,10,149,16,5,5,1,116,78,39,27,23,20,11,55,NA,38,23
