"","EC","ARS","BQF","BQS","BQS1","BR1F","BRF1","BRF2","BRS1","BRS2","CYF","CYS","EPF","EPS","ESF9","ETS","FAS","MTF","PBS","PFF","PFS","PGF","PGS","PLS","QH2F","QHS1","QHS2","QNF","QNS","RSF","RSS","RVF","SIF","SIS","SLF","SLS","TCF","TCS"
"643","2.7.2.7",NA,3,59,NA,115,66,154,151,337,141,23,325,589,67,16,238,86,1,161,211,75,676,63,390,4,1014,61,339,364,411,33,37,560,43,59,111,183
"644","2.7.2.8",919,8,131,2,1492,2002,3376,1302,2904,1869,2892,2335,4080,3136,1303,2077,2352,1315,3301,1597,779,2322,3985,9795,16035,2257,3686,4394,1824,1470,3585,4363,3026,1400,424,2118,2156
"645","2.7.3.9",488,20,252,21,758,718,1119,647,1597,733,1374,1234,2247,832,624,1519,1044,259,1678,927,391,2376,250,521,8216,682,1223,2475,1224,1128,580,857,1763,872,401,1055,310
"646","2.7.4.1",274,8,86,NA,434,600,684,129,511,270,878,442,917,520,421,458,441,170,998,545,249,1220,202,2461,5485,1428,1016,1231,519,567,541,593,688,476,48,654,162
"647","2.7.4.16",176,1,26,NA,208,792,556,121,440,153,266,347,358,945,113,132,322,327,584,330,102,451,122,3462,4421,596,753,1326,76,76,370,921,279,170,22,422,77
"648","2.7.4.22",1787,16,469,1,3434,3374,3359,3397,5594,3795,5845,3295,6377,3777,2370,5525,4205,1379,4969,2469,1252,5751,6612,6924,18160,3342,4930,7072,3338,3005,2801,4840,5722,2800,1012,3977,4578
"649","2.7.4.23",8,NA,NA,NA,13,7,6,NA,NA,NA,NA,17,10,15,NA,NA,1,NA,1,1,7,NA,NA,272,38,37,NA,16,2,NA,1,14,27,NA,NA,6,NA
"650","2.7.4.25",224,1,41,NA,305,605,841,263,596,199,718,396,666,816,149,340,268,505,733,362,116,486,498,2718,3338,560,859,1118,273,174,754,1164,522,290,49,528,262
"651","2.7.4.3",900,7,277,NA,1974,2130,2895,2022,3779,2751,2563,2348,3482,2906,1050,3023,3200,410,3391,1436,660,2888,4073,8907,13102,2610,3257,4368,1778,1335,2432,3846,3574,1588,690,2450,2177
"652","2.7.4.6",1206,1048,979,1092,2405,2278,2460,2218,3138,2835,3037,1981,3067,2397,1333,3631,2895,1429,2997,1386,778,2605,3510,7166,13959,2125,3213,3907,1573,1217,2240,3258,3379,1691,676,2582,2159
"653","2.7.4.8",127,NA,44,NA,228,521,695,171,567,129,676,368,427,868,112,182,220,336,705,276,99,553,474,4877,3705,875,708,1027,116,82,323,1412,339,178,26,444,221
"654","2.7.6.1",1622,12,654,3,4090,3817,4590,4383,5580,4256,6456,3601,5661,4617,2238,5367,4380,1933,5413,2495,1294,6013,6630,11055,18367,3185,5162,6700,2974,2671,3973,6502,5985,2741,1132,3753,4502
"655","2.7.6.3",27,34,71,29,66,213,523,58,71,23,64,55,74,43,26,18,51,1,110,104,21,63,59,153,96,48,237,361,47,29,724,32,55,28,7,103,31
"656","2.7.6.5",1501,14,531,1,3101,3389,3543,3251,5083,3775,5410,3460,5406,2823,2234,4379,3768,1186,5187,2251,1339,5656,4748,8189,18930,3408,5533,5827,3166,2491,2499,3545,4922,2565,746,4078,3156
"657","2.7.7.12",114,4,116,NA,195,252,302,206,560,213,400,218,526,119,200,821,260,12,609,284,110,1450,65,135,1890,262,601,751,522,471,54,54,693,288,74,244,169
"658","2.7.7.13",372,4,122,NA,476,1631,1182,191,755,607,1049,942,1212,2481,480,381,910,874,1852,747,498,1296,2332,8388,11557,1848,2089,2264,471,356,396,3778,892,501,49,1063,1278
"659","2.7.7.19",473,NA,87,NA,453,953,959,325,821,205,1047,628,1099,943,278,311,397,628,1290,677,225,1535,280,3865,6575,818,1416,2053,332,344,723,1141,710,528,58,835,276
"660","2.7.7.24",1609,77,769,84,2284,3254,4471,1172,4201,2173,5083,3696,6332,5927,2182,2523,3765,2388,7753,3256,1741,7625,5443,27212,20543,7774,6513,9501,3521,3218,4210,7639,5482,2469,513,3877,3130
"661","2.7.7.27",582,4,122,NA,608,331,388,819,1329,528,1810,848,1488,498,598,1018,591,642,1150,512,150,1563,420,2024,6525,542,1135,1801,792,557,199,590,1911,647,218,727,495
"662","2.7.7.3",742,5,128,1,2060,1590,2068,2122,2639,1719,2583,1947,2799,1466,929,2805,1662,455,2251,1023,537,2555,902,4131,10403,1281,2102,2524,1365,1134,1926,1963,3161,1139,483,1616,868
"663","2.7.7.33",511,297,286,192,417,185,616,232,482,549,1853,619,1011,334,472,790,621,1093,1583,799,610,1688,391,583,5940,248,1468,3768,639,536,237,323,532,513,190,721,137
"664","2.7.7.4",204,NA,81,NA,529,285,315,697,1197,386,875,1049,2677,250,562,931,402,82,1392,426,158,1245,900,15935,5147,2952,181,272,489,433,178,282,791,465,98,390,712
"665","2.7.7.42",367,1,111,NA,354,888,1478,254,787,107,727,842,982,573,177,169,244,663,1275,571,187,905,272,10816,7939,1917,1434,1850,154,181,1427,557,532,352,23,839,253
"666","2.7.7.43",NA,NA,NA,NA,NA,NA,1,NA,1,NA,8,4,3,NA,1,7,2,NA,NA,NA,NA,2,NA,NA,1,NA,NA,10,NA,NA,NA,NA,NA,1,NA,1,NA
"667","2.7.7.53",29,1,12,NA,61,43,38,197,93,98,86,60,113,8,69,115,53,10,42,34,5,96,17,10,232,28,84,94,117,73,7,6,100,68,26,88,23
"668","2.7.7.56",1545,11,358,10,1950,1951,1867,2331,3556,2378,3881,1782,3253,2287,1522,3096,2948,1436,2458,1252,679,4183,5583,4099,10319,1260,2732,3728,1792,1352,1306,3123,3364,1688,584,2189,3302
"669","2.7.7.59",84,4,42,NA,320,768,674,126,365,59,405,235,248,730,68,68,207,163,674,258,103,413,117,5275,2617,710,624,515,95,46,747,1025,199,182,2,405,179
"670","2.7.7.6",21856,851,6296,806,40149,40453,48775,40990,63026,49474,64736,44020,70139,45364,26022,65557,47207,20526,62083,26620,17921,64326,55355,111902,201431,40684,61705,67828,41296,33200,43431,61602,65293,31823,12571,48345,42890
"671","2.7.7.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","2.7.7.63",NA,NA,3,NA,44,26,131,NA,9,NA,6,16,42,13,NA,2,30,18,42,29,18,59,14,7,NA,47,44,97,141,54,9,16,74,27,5,41,1
"673","2.7.7.65",164,1,54,NA,266,621,725,105,492,519,260,255,649,169,137,200,1003,119,753,283,124,605,1624,320,1462,309,605,940,236,179,197,185,519,210,65,471,813
"674","2.7.7.68",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,13,NA,NA,3,NA,1,NA,NA,19,2
"675","2.7.7.7",2647,410,959,299,4984,5315,6921,4516,7527,5459,9418,5637,8382,5932,3523,7295,5627,2916,8044,3504,2573,8928,5794,15960,25991,5188,8142,9554,4850,3608,6258,8041,7977,3911,1520,6223,4432
"676","2.7.7.70",207,NA,17,NA,220,110,311,159,401,373,612,333,565,145,143,357,352,655,605,419,96,541,540,1866,2297,576,840,1556,187,151,105,161,325,270,63,373,225
"677","2.7.7.72",376,3,68,NA,509,1941,2236,199,957,269,677,819,1097,2531,218,134,679,267,1744,841,266,1025,402,9280,9260,1883,2250,3467,134,119,2803,3498,604,551,35,1277,365
"678","2.7.7.75",275,NA,76,NA,413,1135,552,161,784,639,428,679,978,2415,171,399,848,22,1310,499,186,871,1618,2215,7310,992,1333,1540,225,175,136,3563,813,434,87,649,893
"679","2.7.7.76",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA
"680","2.7.7.77",5,NA,NA,NA,28,27,22,5,47,4,35,33,29,30,13,3,5,20,20,16,NA,2,9,59,308,38,97,52,1,5,2,23,28,34,1,39,8
"681","2.7.7.8",4407,33,1225,7,9773,9519,10009,10434,14281,9837,14208,10072,15647,9966,5939,15572,10458,4221,13975,5582,3279,13974,13078,25827,50720,8936,12246,15143,9052,6810,8941,13339,16107,7254,3033,9710,9258
"682","2.7.7.80",46,629,655,837,144,210,248,90,122,74,164,100,135,173,139,79,100,426,238,72,32,94,68,2027,474,294,193,169,67,48,77,142,141,96,76,144,72
"683","2.7.7.82",23,2,5,NA,38,25,44,19,61,121,98,61,94,24,32,136,21,3,79,40,12,43,42,7,8,25,66,157,64,47,34,23,26,47,15,51,38
"684","2.7.7.85",242,6,77,NA,624,363,319,813,724,725,680,292,704,98,235,1086,755,87,383,144,50,553,1241,105,467,196,386,335,501,312,175,57,485,497,200,559,728
"685","2.7.7.87",393,2116,2125,2047,1281,947,641,1400,803,1054,1022,1188,1728,766,265,1657,623,831,474,196,186,1007,554,2641,4501,1201,725,610,1013,1000,310,599,2394,638,843,900,735
"686","2.7.7.9",651,13,229,4,1105,1322,1864,1130,2571,1732,2772,1396,2748,661,1030,2213,2248,1331,2166,937,589,2807,3657,3767,7082,1312,2217,2378,1237,1017,1756,620,2008,976,400,1680,1967
"687","2.7.7.n1",174,3,49,NA,212,758,128,88,235,52,457,450,496,178,165,143,156,220,695,272,131,590,85,3276,1119,619,678,530,291,201,95,222,347,249,13,288,95
"688","2.7.8.12",NA,NA,NA,NA,NA,2,11,NA,NA,NA,1,2,29,3,NA,NA,4,1,12,1,NA,NA,NA,NA,NA,1,6,5,17,17,11,1,3,7,NA,15,NA
"689","2.7.8.13",1100,11,314,1,1321,2203,2629,1091,3446,1702,4011,2443,3596,2980,1487,2710,2331,1580,3860,1619,891,4050,3331,7697,10864,2191,3668,4308,1930,1584,2142,4526,3210,1637,517,2382,2144
"690","2.7.8.24",119,NA,34,NA,91,58,52,58,29,48,134,42,42,35,65,55,26,11,120,25,11,85,48,15,7,31,184,82,92,33,47,19,29,98,12,107,71
"691","2.7.8.26",14,NA,5,NA,23,10,29,9,39,20,22,38,40,190,13,26,27,1,17,16,19,51,6,42,228,51,24,26,28,20,2,281,56,20,7,12,5
"692","2.7.8.31",1097,5,343,NA,1493,1003,2195,1665,2650,1660,2910,1279,2404,2385,1360,3114,1559,419,2466,901,551,3921,633,9156,9690,2077,2538,2354,1544,1276,1888,3538,2058,1508,462,1751,788
"693","2.7.8.33",NA,NA,2,NA,64,84,32,NA,NA,7,2,17,6,18,1,NA,2,NA,10,4,12,NA,2,1324,NA,142,16,2,6,3,1,12,2,4,1,16,1
"694","2.7.8.35",55,1,14,NA,42,28,36,56,81,14,91,40,91,16,43,57,35,7,44,22,10,81,12,3,32,16,88,86,102,56,32,6,71,53,10,117,19
"695","2.7.8.36",88,NA,77,NA,349,237,711,334,395,487,298,398,775,136,158,487,268,77,453,174,71,375,297,1932,531,714,404,496,412,384,1049,107,628,334,114,352,330
"696","2.7.8.37",169,1,66,1,286,211,214,69,89,167,301,366,348,919,72,127,225,502,372,79,562,403,69,2511,3259,542,331,484,192,136,191,1157,812,198,45,233,58
